metric_code,record_scope,kind,slot,logical_type,width_bytes,applicability,state_semantics,storage_action,occurrence_formula,aggregate_rule,failure_semantics,status
rel.cell.truth_alpha_delta,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,same_as_truth_alpha_41,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;VALUE_iff_corresponding_41_and_61_elements_are_VALUE;SCIENTIFIC_UNDEFINED_if_either_reached_order_element_is_undefined;NOT_REACHED_if_truth_stage_not_entered,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,absolute_order_difference,freeze_candidate
rel.cell.truth_alpha_final,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,truth_reference_choice_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;NOT_REACHED_until_truth_reference_is_owner_approved_or_if_upstream_truth_stage_not_entered;VALUE_only_if_selected_input_is_VALUE_and_41_61_discrepancy<=1e-6;SCIENTIFIC_UNDEFINED_for_invalid_selected_input_or_excess_discrepancy,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,selected_truth,owner_blocked
rel.cell.truth_macro_41,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell_reaching_truth,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;applicable_element_NOT_REACHED_if_missingness_stage_fails;when_truth_stage_is_reached_both_orders_are_attempted_and_each_applicable_element_is_VALUE_if_finite_else_SCIENTIFIC_UNDEFINED;one_order_or_element_failure_does_not_erase_the_other,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,quadrature_order_41,freeze_candidate
rel.cell.truth_macro_61,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,same_as_truth_macro_41,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;applicable_element_NOT_REACHED_if_missingness_stage_fails;when_truth_stage_is_reached_both_orders_are_attempted_and_each_applicable_element_is_VALUE_if_finite_else_SCIENTIFIC_UNDEFINED;one_order_or_element_failure_does_not_erase_the_other,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,quadrature_order_61,freeze_candidate
rel.cell.truth_macro_delta,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,same_as_truth_macro_41,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;VALUE_iff_corresponding_41_and_61_elements_are_VALUE;SCIENTIFIC_UNDEFINED_if_either_reached_order_element_is_undefined;NOT_REACHED_if_truth_stage_not_entered,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,absolute_order_difference,freeze_candidate
rel.cell.truth_macro_final,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,truth_reference_choice_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;NOT_REACHED_until_truth_reference_is_owner_approved_or_if_upstream_truth_stage_not_entered;VALUE_only_if_selected_input_is_VALUE_and_41_61_discrepancy<=1e-6;SCIENTIFIC_UNDEFINED_for_invalid_selected_input_or_excess_discrepancy,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,selected_truth,owner_blocked
rel.cell.truth_positive_41,cell_static_extension,reliability,extension,F64[4],33_including_32_payload+1_element_state_mask;record_framing_unresolved,four_fixed_class_slots;classes_c>=K_g_structurally_absent,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;applicable_element_NOT_REACHED_if_missingness_stage_fails;when_truth_stage_is_reached_both_orders_are_attempted_and_each_applicable_element_is_VALUE_if_finite_else_SCIENTIFIC_UNDEFINED;one_order_or_element_failure_does_not_erase_the_other,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,quadrature_order_41,freeze_candidate
rel.cell.truth_positive_61,cell_static_extension,reliability,extension,F64[4],33_including_32_payload+1_element_state_mask;record_framing_unresolved,same_as_truth_positive_41,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;applicable_element_NOT_REACHED_if_missingness_stage_fails;when_truth_stage_is_reached_both_orders_are_attempted_and_each_applicable_element_is_VALUE_if_finite_else_SCIENTIFIC_UNDEFINED;one_order_or_element_failure_does_not_erase_the_other,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,quadrature_order_61,freeze_candidate
rel.cell.truth_positive_delta,cell_static_extension,reliability,extension,F64[4],33_including_32_payload+1_element_state_mask;record_framing_unresolved,same_as_truth_positive_41,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;VALUE_iff_corresponding_41_and_61_elements_are_VALUE;SCIENTIFIC_UNDEFINED_if_either_reached_order_element_is_undefined;NOT_REACHED_if_truth_stage_not_entered,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,absolute_order_difference,freeze_candidate
rel.cell.truth_positive_final,cell_static_extension,reliability,extension,F64[4],33_including_32_payload+1_element_state_mask;record_framing_unresolved,truth_reference_choice_owner_blocked;classes_c>=K_g_structurally_absent,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;NOT_REACHED_until_truth_reference_is_owner_approved_or_if_upstream_truth_stage_not_entered;VALUE_only_if_selected_input_is_VALUE_and_41_61_discrepancy<=1e-6;SCIENTIFIC_UNDEFINED_for_invalid_selected_input_or_excess_discrepancy,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,selected_truth,owner_blocked
rel.cell.null_boundary_class,cell_static_extension,reliability,extension,ENUM8,2_including_1_payload+1_element_state_mask;record_framing_unresolved,requires_final_truth,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_if_all_required_final_truth_components_are_VALUE;SCIENTIFIC_UNDEFINED_if_final_truth_was_reached_but_unclassifiable;NOT_REACHED_if_final_truth_stage_not_entered,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,null|alternative|boundary,freeze_candidate
rel.cell.planning_truth_eligibility,cell_static_extension,reliability,extension,BOOL,2_including_1_payload+1_element_state_mask;record_framing_unresolved,planning_family_and_final_truth,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_manifest_nonplanning_cell;VALUE_if_planning_member_final_truth_is_classifiable;SCIENTIFIC_UNDEFINED_if_reached_but_unclassifiable;NOT_REACHED_if_final_truth_stage_not_entered,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,family_gate_applicability,freeze_candidate
rel.cell.static_failure,cell_static_extension,reliability,extension,ENUM16,3_including_2_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_ENUM_after_static_audit_including_NONE_or_first_failure;infrastructure_noncompletion_is_separate,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,first_static_failure,freeze_candidate
rel.outer.alpha,outer_core,reliability,0,F64,8,outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,coverage_truth_reference,outer_DGP_reached=>VALUE_if_observed_alpha_defined_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;component_local_failure_does_not_erase_other_reached_slots,freeze_candidate
rel.outer.alpha_ci_lower,outer_core,reliability,1,F64,8,outer_DGP_and_analysis_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,percentile_interval,outer_DGP_and_analysis_reached=>VALUE_iff_observed_alpha_and_all_9999_bootstrap_alphas_defined_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;observed_alpha_remains_VALUE_when_only_bootstrap_fails,freeze_candidate
rel.outer.alpha_ci_upper,outer_core,reliability,2,F64,8,outer_DGP_and_analysis_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,percentile_interval,same_transition_as_alpha_ci_lower;state_is_independent_of_other_reached_descriptives,freeze_candidate
rel.outer.macro_agreement,outer_core,reliability,3,F64,8,outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,descriptive_metric,outer_DGP_reached=>VALUE_if_macro_denominator_defined_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;independent_of_alpha_and_bootstrap_state,freeze_candidate
rel.outer.positive_agreement_c0,outer_core,reliability,4,F64,8,K_g>0;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_and_description,K_g<=0=>INAPPLICABLE;K_g>0_and_outer_DGP_reached=>VALUE_if_required_positive_agreement_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;component_local_failure_does_not_erase_other_classes_or_descriptives,freeze_candidate
rel.outer.positive_agreement_c1,outer_core,reliability,5,F64,8,K_g>1;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_and_description,K_g<=1=>INAPPLICABLE;K_g>1_and_outer_DGP_reached=>VALUE_if_required_positive_agreement_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;component_local_failure_does_not_erase_other_classes_or_descriptives,freeze_candidate
rel.outer.positive_agreement_c2,outer_core,reliability,6,F64,8,K_g>2;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_and_description,K_g<=2=>INAPPLICABLE;K_g>2_and_outer_DGP_reached=>VALUE_if_required_positive_agreement_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;component_local_failure_does_not_erase_other_classes_or_descriptives,freeze_candidate
rel.outer.positive_agreement_c3,outer_core,reliability,7,F64,8,K_g>3;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_and_description,K_g<=3=>INAPPLICABLE;K_g>3_and_outer_DGP_reached=>VALUE_if_required_positive_agreement_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;component_local_failure_does_not_erase_other_classes_or_descriptives,freeze_candidate
rel.outer.prevalence_c0,outer_core,reliability,8,F64,8,K_g>0;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_denominator,K_g<=0=>INAPPLICABLE;K_g>0_and_outer_DGP_reached=>VALUE_if_declared_prevalence_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;independent_of_positive_agreement_and_bootstrap_state,freeze_candidate
rel.outer.prevalence_c1,outer_core,reliability,9,F64,8,K_g>1;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_denominator,K_g<=1=>INAPPLICABLE;K_g>1_and_outer_DGP_reached=>VALUE_if_declared_prevalence_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;independent_of_positive_agreement_and_bootstrap_state,freeze_candidate
rel.outer.prevalence_c2,outer_core,reliability,10,F64,8,K_g>2;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_denominator,K_g<=2=>INAPPLICABLE;K_g>2_and_outer_DGP_reached=>VALUE_if_declared_prevalence_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;independent_of_positive_agreement_and_bootstrap_state,freeze_candidate
rel.outer.prevalence_c3,outer_core,reliability,11,F64,8,K_g>3;outer_DGP_reached,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,class_gate_denominator,K_g<=3=>INAPPLICABLE;K_g>3_and_outer_DGP_reached=>VALUE_if_declared_prevalence_denominator_positive_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED;independent_of_positive_agreement_and_bootstrap_state,freeze_candidate
rel.outer.missing_overall,outer_core,reliability,12,F64,8,every_reached_outer,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,missingness_gate,outer_DGP_reached=>VALUE_if_declared_assignment_denominator_defined_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED,freeze_candidate
rel.outer.missing_reader_min,outer_core,reliability,13,F64,8,every_reached_outer,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,reader_span_component,outer_DGP_reached=>VALUE_if_all_required_reader_denominators_defined_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED,freeze_candidate
rel.outer.missing_reader_max,outer_core,reliability,14,F64,8,every_reached_outer,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,reader_span_component,same_transition_as_missing_reader_min,freeze_candidate
rel.outer.missing_reader_span,outer_core,reliability,15,F64,8,every_reached_outer,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,reader_span_gate,VALUE_iff_missing_reader_min_and_max_VALUE;SCIENTIFIC_UNDEFINED_if_reached_component_missing;upstream_DGP_nonreach=>NOT_REACHED,freeze_candidate
rel.outer.missing_arm_min,outer_core,reliability,16,F64,8,every_reached_outer,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,presentation_arm_span_component,outer_DGP_reached=>VALUE_if_all_required_presentation_arm_denominators_defined_else_SCIENTIFIC_UNDEFINED;upstream_DGP_nonreach=>NOT_REACHED,freeze_candidate
rel.outer.missing_arm_max,outer_core,reliability,17,F64,8,every_reached_outer,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,presentation_arm_span_component,same_transition_as_missing_arm_min,freeze_candidate
rel.outer.missing_arm_span,outer_core,reliability,18,F64,8,every_reached_outer,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,presentation_arm_span_gate,VALUE_iff_missing_arm_min_and_max_VALUE;SCIENTIFIC_UNDEFINED_if_reached_component_missing;upstream_DGP_nonreach=>NOT_REACHED,freeze_candidate
rel.outer.event_alpha_point,outer_core,reliability,19,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=0;VALUE_bool_every_outer;success=alpha_VALUE_and_alpha>=0.80;undefined_alpha=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13;numeric_threshold_miss=>false_only,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_alpha_lower,outer_core,reliability,20,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=1;VALUE_bool_every_outer;success=ci_lower_VALUE_and_ci_lower>=0.67;undefined_interval=>false_and_bit13_and_inherit_or_set_nonestimable_status;undefined_bootstrap_count>0=>also_bit14_and_status_BOOTSTRAP_UNDEFINED;numeric_threshold_miss=>false_only,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_macro,outer_core,reliability,21,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=2;VALUE_bool_every_outer;success=macro_VALUE_and_macro>=0.85;undefined_metric=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13;numeric_threshold_miss=>false_only,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_class_c0,outer_core,reliability,22,BOOL,8,K_g>0;every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=3;VALUE_bool_every_outer_when_K>0;success=positive_c0_VALUE_and_positive_c0>=0.75;empty_required_denominator=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13;numeric_threshold_miss=>false_only,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_class_c1,outer_core,reliability,23,BOOL,8,K_g>1;every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=4;VALUE_bool_every_outer_when_K>1;success=positive_c1_VALUE_and_positive_c1>=0.75;empty_required_denominator=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13;numeric_threshold_miss=>false_only,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_class_c2,outer_core,reliability,24,BOOL,8,K_g>2;every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=5;VALUE_bool_every_outer_when_K>2;success=positive_c2_VALUE_and_positive_c2>=0.75;empty_required_denominator=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13;numeric_threshold_miss=>false_only,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_class_c3,outer_core,reliability,25,BOOL,8,K_g>3;every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=6;VALUE_bool_every_outer_when_K>3;success=positive_c3_VALUE_and_positive_c3>=0.75;empty_required_denominator=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13;numeric_threshold_miss=>false_only,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_allocation,outer_core,reliability,26,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=7;VALUE_bool_every_outer;success=every_frozen_intended_stratum_quota_met;quota_miss=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_missing_overall,outer_core,reliability,27,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=8;VALUE_bool_every_outer;success=missing_overall_VALUE_and_missing_overall<=0.05;undefined_or_above_0.05=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_missing_reader_span,outer_core,reliability,28,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=9;VALUE_bool_every_outer;success=reader_span_VALUE_and_reader_span<=0.05;undefined_or_above_0.05=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_missing_arm_span,outer_core,reliability,29,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=10;VALUE_bool_every_outer;success=arm_span_VALUE_and_arm_span<=0.05;undefined_or_above_0.05=>false_and_status_ESTIMAND_NONESTIMABLE_and_bit13,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
rel.outer.event_complete_gate,outer_core,reliability,30,BOOL,8,every_outer_identity,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state,persist,sum_rel_cells(M_c);M_c=0_if_I_R3=0_and_I_complete_iff_M_c=R_with_no_integrity_mismatch,event_bit=11;VALUE_bool_every_outer;success=bits_0_to_2_and_7_to_10_and_all_applicable_class_bits_true;nonestimable_or_not_reached=false,applicable_event_is_always_VALUE_bool;scientific_nonestimability_is_false,freeze_candidate
